,START,C,D,E,F,G,A,B,END
START,0.0,-0.12419999999999998,0.0213,0.006200000000000001,0.07850000000000001,0.0334,-0.0368,0.0028,0.0
C,0.0,-0.028099999999999986,-0.014100000000000001,-0.0006999999999999992,-0.0368,-0.014500000000000013,-0.011999999999999997,0.0038000000000000004,0.1047
D,0.0,0.01050000000000001,-0.0016000000000000042,0.004400000000000001,0.005300000000000027,-0.0464,-0.021199999999999997,0.0013000000000000008,0.0492
E,0.0,0.002699999999999994,-0.006600000000000009,0.003699999999999995,-0.008599999999999997,-0.006599999999999995,-0.055400000000000005,0.003000000000000001,0.057300000000000004
F,0.0,-0.023999999999999966,-0.011199999999999988,-0.003799999999999998,0.00449999999999999,-0.011099999999999999,-0.005299999999999999,-0.00039999999999999996,0.0486
G,0.0,-0.0499,-0.0050000000000000044,0.00010000000000000286,-0.013500000000000012,0.013200000000000003,-0.0040999999999999925,0.0004000000000000002,0.0594
A,0.0,-0.010099999999999998,-0.027399999999999994,0.0087,-0.023400000000000032,-0.01930000000000001,-0.0022000000000000075,0.002,0.07450000000000001
B,0.0,-0.0387,0.021999999999999992,-0.052800000000000014,-0.015500000000000003,0.0697,-0.0194,0.0005000000000000004,0.045899999999999996
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
