,START,C,D,E,F,G,A,B,END
START,0.0,-0.12819999999999998,0.016799999999999995,0.0052,0.0358,0.0571,-0.004500000000000004,0.006700000000000001,0.0
C,0.0,-0.014399999999999996,0.006199999999999997,0.003699999999999995,-0.04500000000000001,-0.010000000000000009,-0.04029999999999999,0.0030999999999999995,0.0657
D,0.0,0.014899999999999997,0.0295,0.0359,-0.04799999999999999,-0.04100000000000001,-0.06870000000000001,0.00010000000000000026,0.0431
E,0.0,-0.0408,0.013999999999999999,0.05399999999999999,-0.027100000000000013,-0.004699999999999996,-0.08760000000000001,-0.0043,0.0833
F,0.0,-0.04899999999999999,0.000800000000000009,0.013999999999999999,-0.014900000000000004,0.022799999999999987,-0.0281,-0.00019999999999999987,0.0384
G,0.0,-0.07519999999999999,-0.022900000000000004,-0.0031999999999999945,0.0184,0.008000000000000007,-0.03889999999999999,-0.0007999999999999999,0.1087
A,0.0,-0.036599999999999994,0.026600000000000013,0.018000000000000002,-0.06560000000000002,-0.0025000000000000022,-0.017400000000000013,0.0017000000000000001,0.05900000000000001
B,0.0,-0.0808,0.023400000000000004,-0.020500000000000018,-0.0461,0.04279999999999999,0.06390000000000001,0.043,0.0415
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
