,START,C,D,E,F,G,A,B,END
START,0.0,-0.003300000000000025,0.0005000000000000004,-0.0007999999999999986,0.0005000000000000004,0.0007999999999999952,0.0067000000000000115,-0.00019999999999999966,0.0
C,0.0,-0.01780000000000001,-0.008500000000000008,0.0023999999999999994,0.0013999999999999846,-0.026600000000000013,0.0005000000000000004,0.00010000000000000026,0.0534
D,0.0,-0.0189,-0.010400000000000006,-0.005400000000000002,-0.015099999999999975,0.0012000000000000066,0.006099999999999994,-0.0013,0.0448
E,0.0,-0.010099999999999998,0.005699999999999997,-0.0023000000000000034,-0.020900000000000002,-0.0005000000000000004,-0.0398,0.0010000000000000009,0.0742
F,0.0,-0.018299999999999983,0.0009000000000000119,0.0,-0.012499999999999997,-0.011899999999999994,-0.007099999999999995,-0.00019999999999999987,0.0523
G,0.0,-0.030399999999999983,-0.007099999999999995,-0.0024999999999999953,-0.029700000000000004,-0.003699999999999995,-0.026999999999999996,0.0004000000000000002,0.1019
A,0.0,0.00520000000000001,0.0025000000000000022,0.002799999999999997,-0.016500000000000015,-0.013399999999999995,-0.014500000000000013,-0.001,0.036500000000000005
B,0.0,0.0022000000000000075,-0.010900000000000007,0.02739999999999998,0.0015000000000000013,-0.031700000000000006,-0.023899999999999977,-0.009500000000000001,0.046
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
