,START,C,D,E,F,G,A,B,END
START,0.0,-0.2422,0.05679999999999999,0.014700000000000001,0.1136,0.0247,0.003700000000000009,0.0034,0.0
C,0.0,-0.0408,0.015100000000000002,0.0005000000000000004,-0.021300000000000013,-0.0024000000000000132,-0.01469999999999999,-0.0004000000000000002,0.0504
D,0.0,0.0030000000000000027,-0.025099999999999997,-0.005299999999999999,0.014000000000000012,-0.0476,0.00269999999999998,0.0002999999999999999,0.0494
E,0.0,-0.008800000000000002,-0.009600000000000011,-0.006400000000000003,0.009299999999999975,0.0013999999999999985,-0.0691,0.0002999999999999999,0.0829
F,0.0,-0.0681,0.0007000000000000062,0.006999999999999992,-0.0016000000000000042,-0.0063,0.005199999999999996,0.0006999999999999999,0.0629
G,0.0,-0.11729999999999999,0.0012999999999999956,0.0039000000000000007,-0.008500000000000008,-0.006499999999999992,0.0025000000000000022,-9.999999999999983e-05,0.1203
A,0.0,-0.011499999999999996,-0.026699999999999988,-0.001899999999999999,-0.012400000000000022,0.022999999999999993,-0.01390000000000001,0.0005999999999999998,0.0393
B,0.0,-0.0041999999999999815,-0.0288,-0.03160000000000002,0.0017000000000000001,-0.0116,-0.005199999999999982,0.0211,0.0427
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
