,START,C,D,E,F,G,A,B,END
START,0.0,-0.07230000000000003,0.0204,0.0086,0.03840000000000002,0.0059000000000000025,-0.016699999999999993,0.0009000000000000002,0.0
C,0.0,0.023900000000000005,-0.009099999999999997,-0.012800000000000006,-0.02100000000000002,-0.042700000000000016,-0.02389999999999999,-0.0002999999999999999,0.0757
D,0.0,-0.0324,0.04419999999999999,0.013299999999999992,-0.023599999999999982,-0.048100000000000004,0.006599999999999995,-0.0027,0.055299999999999995
E,0.0,-0.0247,-0.0184,-0.00010000000000000286,-0.013200000000000017,0.01200000000000001,-0.04730000000000001,-0.0037999999999999996,0.0953
F,0.0,-0.0691,0.004300000000000012,0.007499999999999993,0.0204,-0.005099999999999993,-0.013300000000000006,0.0013000000000000002,0.060399999999999995
G,0.0,-0.06559999999999999,-0.030399999999999996,-0.0012999999999999956,-0.0184,0.022400000000000003,-0.02889999999999998,0.0005999999999999998,0.1196
A,0.0,0.007300000000000001,0.013399999999999995,0.0005000000000000004,-0.08610000000000001,-0.01880000000000001,0.014599999999999988,-0.0034000000000000002,0.06130000000000001
B,0.0,-0.1283,0.0002999999999999947,-0.059000000000000025,0.10769999999999999,-0.030300000000000007,0.006200000000000011,-0.0403,0.1261
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
