,START,C,D,E,F,G,A,B,END
START,0.0,-0.09720000000000001,0.015100000000000002,0.0034000000000000002,0.11200000000000002,0.015,-0.052799999999999986,0.0006000000000000003,0.0
C,0.0,-0.0498,-0.0032000000000000084,0.0011999999999999997,-0.017199999999999993,0.009699999999999986,-0.00789999999999999,-0.0004000000000000002,0.0713
D,0.0,-0.0020000000000000018,-0.024500000000000008,-0.0011000000000000038,-9.999999999998899e-05,0.016499999999999987,-0.02780000000000002,-0.00010000000000000026,0.0412
E,0.0,-0.008499999999999994,-0.010600000000000012,-0.013000000000000005,-0.004400000000000015,-0.008499999999999994,-0.008000000000000007,-0.0020999999999999994,0.0582
F,0.0,-0.015199999999999991,-0.004699999999999996,-0.0013999999999999985,-0.010599999999999998,0.0009000000000000119,-0.011999999999999997,-9.999999999999983e-05,0.047799999999999995
G,0.0,-0.015100000000000002,-0.008300000000000002,-0.0005000000000000004,-0.013400000000000023,-0.019799999999999998,-0.012299999999999978,0.0,0.0731
A,0.0,-0.0179,-0.0068000000000000005,-0.005199999999999996,0.009599999999999997,0.0040999999999999925,-0.031,-0.0005999999999999998,0.0504
B,0.0,-0.004399999999999987,-0.007199999999999998,0.03259999999999996,-0.0022000000000000006,-0.013700000000000004,-0.025999999999999995,-0.0176,0.0538
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
