,START,C,D,E,F,G,A,B,END
START,0.0,-0.041800000000000004,0.003699999999999995,0.0017000000000000001,0.0030000000000000027,0.007900000000000004,0.017699999999999994,0.0011000000000000003,0.0
C,0.0,0.0345,-0.008800000000000002,-0.012000000000000004,-0.03720000000000001,-0.0388,-0.0266,0.002000000000000001,0.0873
D,0.0,-0.002799999999999997,0.0431,-0.005100000000000007,-0.023999999999999994,-0.0489,-0.0174,-0.0008999999999999998,0.0651
E,0.0,-0.014899999999999997,0.0007999999999999952,0.026499999999999996,-0.034900000000000014,-0.00019999999999999185,-0.0766,-0.0024999999999999996,0.1043
F,0.0,-0.07319999999999999,-0.0068999999999999895,0.005400000000000002,0.018799999999999997,-0.008099999999999996,-0.017600000000000005,-0.0002999999999999999,0.0809
G,0.0,-0.08049999999999999,-0.0199,-0.0029999999999999957,-0.038500000000000006,0.0348,-0.0378,9.999999999999983e-05,0.13369999999999999
A,0.0,-0.0116,-0.009199999999999986,-0.004100000000000006,-0.055800000000000016,-0.024400000000000005,0.0359,-0.0013,0.0707
B,0.0,0.005100000000000021,0.023400000000000004,-0.12310000000000001,-0.009300000000000003,-0.007199999999999998,-0.007199999999999984,-0.0087,0.0968
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
