,START,C,D,E,F,G,A,B,END
START,0.0,-0.27,0.055499999999999994,0.0193,0.1567,0.012899999999999995,0.009599999999999997,0.0057,0.0
C,0.0,-0.0737,0.02969999999999999,0.020199999999999996,-0.04100000000000001,-0.010000000000000009,-0.000899999999999998,-0.0007000000000000001,0.0765
D,0.0,0.013600000000000001,-0.0354,0.0402,-0.0174,-0.06510000000000002,0.00839999999999999,0.0023999999999999994,0.06770000000000001
E,0.0,-0.004799999999999999,-0.024500000000000008,-0.007100000000000009,0.02779999999999999,-0.005099999999999993,-0.09989999999999999,0.0037,0.11960000000000001
F,0.0,-0.1023,0.0022000000000000075,0.010300000000000004,-0.010800000000000004,0.013000000000000012,0.011899999999999994,0.0002000000000000001,0.0873
G,0.0,-0.1583,-0.011999999999999997,0.015,0.003599999999999992,-0.013499999999999998,-0.015100000000000002,-0.0016,0.189
A,0.0,-0.008500000000000008,-0.04139999999999999,-0.004500000000000004,-0.0001000000000000445,0.03269999999999998,-0.041400000000000006,0.0055,0.057300000000000004
B,0.0,0.06820000000000001,-0.008000000000000007,-0.07440000000000002,-0.016700000000000003,-0.0582,-0.0194,0.028299999999999992,0.06989999999999999
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
